TopicID,RefinedTopicID,OriginalAutoCoherence,OriginalSubjClarity,OriginalSubjConsistency,OriginalSubjCorrelation,OriginalDocIntrDLO,OriginalDocIntrPercent,FreqAddWords,FreqRemoveWords,FreqRemoveArticles,FreqMergeWords,FreqSplitTheme,FreqChangeWordOrder,RefinedWordLength,RefinedDocumentLength,RefinedAutoCoherence,RefindSubjClarity,RefinedSubjConsistency,RefinedSubjCorrelation,RefinedDocIntrDLO,RefinedDocIntrPercent,Duration
7,1,0.02,5,5,5,0.0,1.0,7,7,3,0,3,26,18,39,0.06666666666666667,5,5,5,-1.1272667805286825,0.8,595
7,2,0.02,4,4,4,0.0,1.0,0,0,9,0,0,7,17,31,0.07058823529411765,4,5,5,0.0,1.0,110
7,3,0.02,5,5,4,0.0,1.0,3,3,14,1,5,2,17,32,0.047058823529411764,5,5,5,0.0,1.0,374
7,4,0.02,5,5,4,0.0,1.0,0,0,0,6,2,5,25,40,0.05,5,4,5,-4.4863991984519185,0.4,486
7,5,0.02,4,4,4,0.0,1.0,5,5,1,2,0,7,22,39,0.05454545454545454,4,4,4,-2.5184733218691102,0.6,305
7,6,0.02,3,2,3,0.0,1.0,3,3,0,0,0,7,16,40,0.039999999999999994,4,3,4,-1.302609223672188,0.8,106
7,7,0.02,4,5,4,0.0,1.0,0,0,1,1,0,2,20,39,0.05,4,4,5,0.0,1.0,207
7,8,0.02,4,4,4,0.0,1.0,0,0,3,2,0,2,23,37,0.04,4,5,4,-3.4624932166587699,0.4,70
8,0,0.08,5,4,4,0.0,1.0,10,10,3,1,0,3,30,39,0.04444444444444444,5,4,5,0.0,1.0,327
8,1,0.08,4,3,3,0.0,1.0,2,2,1,3,0,5,19,39,0.1263157894736842,5,5,5,0.0,1.0,192
8,2,0.08,5,5,5,0.0,1.0,2,2,14,1,8,4,13,32,0.12307692307692308,5,5,5,0.0,1.0,342
8,3,0.08,4,4,4,0.0,1.0,0,0,3,1,0,0,19,37,0.07777777777777779,5,4,5,-1.5712819595335312,0.8,117
8,4,0.08,3,2,4,0.0,1.0,2,2,1,1,2,4,19,39,0.12941176470588237,5,5,5,0.0,1.0,242
8,5,0.08,2,2,4,0.0,1.0,2,2,8,1,6,1,12,32,0.11666666666666668,4,4,5,0.0,1.0,602
8,6,0.08,3,3,3,0.0,1.0,0,0,0,0,0,9,15,40,0.09333333333333334,4,4,4,-3.0392320042530896,0.6,128
8,7,0.08,3,3,4,0.0,1.0,0,0,1,1,0,2,18,39,0.1,5,5,5,0.0,1.0,166
8,8,0.08,5,4,4,0.0,1.0,0,0,22,1,4,0,14,18,0.12857142857142856,5,4,5,0.0,1.0,546
9,0,0.03,5,5,5,0.0,1.0,1,1,2,1,2,2,19,38,0.011111111111111112,5,5,5,0.0,1.0,200
9,1,0.03,4,4,4,0.0,1.0,0,0,5,1,0,2,18,35,0.044444444444444446,5,5,5,0.0,1.0,199
9,2,0.03,4,3,4,0.0,1.0,0,0,0,1,0,3,15,40,0.0375,5,4,4,0.0,1.0,126
9,3,0.03,4,4,4,0.0,1.0,2,2,8,0,0,2,20,32,0.02,5,5,5,-1.422503900389374,0.8,75
9,4,0.03,3,4,4,0.0,1.0,1,1,6,0,2,1,17,34,0.03529411764705882,4,4,5,-1.1624831347017364,0.8,126
9,5,0.03,4,4,4,0.0,1.0,1,1,0,1,0,0,20,40,0.01,4,4,4,0.0,1.0,120
9,6,0.03,4,4,4,0.0,1.0,1,1,3,1,2,3,17,37,0.023529411764705882,5,5,5,0.0,1.0,215
9,7,0.03,4,4,4,0.0,1.0,1,1,3,1,2,1,20,37,0.03157894736842105,3,4,4,0.0,1.0,121
9,8,0.03,5,4,4,0.0,1.0,4,4,8,3,0,4,22,32,0.0,5,4,4,0.0,1.0,523
10,0,0.0,4,4,4,-1.3138124362121635,0.2,1,1,1,2,4,1,15,39,-0.0,4,4,4,-0.86133672236448366,0.4,211
10,1,0.0,2,2,2,-1.3138124362121635,0.2,1,1,5,0,0,1,9,35,0.044444444444444446,3,3,3,-0.68124479146742678,0.6,129
10,2,0.0,2,2,2,-1.3138124362121635,0.2,4,4,0,0,0,0,4,40,-0.06666666666666667,2,2,3,-0.93715765413817065,0.2,184
10,3,0.0,1,1,1,-1.3138124362121635,0.2,0,0,0,5,0,4,29,40,0.05454545454545454,4,4,4,-0.2694355162351264,0.8,282
10,4,0.0,2,2,2,-1.3138124362121635,0.2,21,21,14,4,0,1,32,26,-0.0,3,2,3,-0.2678765955146889,0.8,697
10,5,0.0,1,2,2,-1.3138124362121635,0.2,6,6,23,0,2,5,10,19,0.08,4,4,4,0.0,1.0,671
10,6,0.0,2,2,3,-1.3138124362121635,0.2,0,0,8,0,0,0,9,32,0.022222222222222223,5,4,4,-0.71882237797854942,0.4,168
10,7,0.0,3,2,3,-1.3138124362121635,0.2,8,8,36,0,0,1,9,8,0.022222222222222223,4,4,4,-0.31799015293951111,0.8,597
10,8,0.0,3,3,3,-1.3138124362121635,0.2,3,3,8,0,0,3,5,32,0.12,5,4,5,-0.81883257709435608,0.4,127
11,0,0.11,4,4,4,0.0,1.0,1,1,7,0,0,2,20,33,0.1,5,5,5,-1.1389504068717677,0.8,102
11,1,0.11,4,4,5,0.0,1.0,4,4,15,1,0,9,19,25,0.1,5,5,5,0.0,1.0,408
11,2,0.11,5,5,5,0.0,1.0,10,10,14,0,8,6,17,32,0.12941176470588237,5,5,5,0.0,1.0,601
11,3,0.11,4,4,4,0.0,1.0,1,1,0,3,0,11,16,40,0.125,4,4,4,-1.0798595507684929,0.8,598
11,4,0.11,4,4,4,0.0,1.0,0,0,0,0,0,0,13,40,0.2,4,4,4,-1.0808484277857842,0.8,174
