TopicID,RefinedTopicID,OriginalAutoCoherence,OriginalSubjClarity,OriginalSubjConsistency,OriginalSubjCorrelation,OriginalDocIntrDLO,OriginalDocIntrPercent,FreqAddWords,FreqRemoveWords,FreqRemoveArticles,FreqMergeWords,FreqSplitTheme,FreqChangeWordOrder,RefinedWordLength,RefinedDocumentLength,RefinedAutoCoherence,RefindSubjClarity,RefinedSubjConsistency,RefinedSubjCorrelation,RefinedDocIntrDLO,RefinedDocIntrPercent,Duration
25,0,0.08,4.111111111,4.222222222,4.111111111,0,1,1,1,2,1,4,4,17,38,0.06,4,4,4,0,1,143
28,2,0.11,2.777777778,3,3.333333333,0,1,0,0,15,0,7,13,13,27,0.09,4,4,4,0,1,143
4,3,0.1,4.111111111,3.666666667,4.111111111,0,1,0,0,0,0,5,2,12,40,0.11,4,4,4,-3.2346309,0.6,144
20,5,0.11,3.777777778,3.666666667,3.888888889,-3.313896223,0.6,0,0,2,1,0,0,20,38,0.04,5,5,5,0,1,144
20,1,0.11,3.777777778,3.666666667,3.888888889,-3.313896223,0.6,1,1,0,0,0,2,10,40,0.14,5,5,5,-1.186269178,0.8,146
2,2,0.15,4.222222222,4.222222222,4.222222222,0,1,1,1,0,1,0,5,21,40,0.17,5,4,5,0,1,147
14,8,0.03,2.555555556,2.444444444,3.111111111,-2.01001482,0.6,4,4,0,0,0,3,20,40,0.06,4,4,4,-2.544727029,0.4,148
18,0,0.11,4,4,4.111111111,0,1,0,0,4,2,0,4,9,38,0.02,5,5,5,0,1,149
3,8,0,3.777777778,4,3.888888889,-1.311195009,0.8,0,0,10,3,0,1,17,30,0,5,5,5,-1.085374213,0.8,151
0,4,0.18,4.222222222,3.777777778,4.333333333,0,1,0,0,0,1,0,3,17,40,0.1,5,5,5,0,1,152
22,8,0.15,3.777777778,3.555555556,4,0,1,1,1,3,2,0,0,20,37,0.09,5,4,5,0,1,154
19,5,0.02,2.666666667,2.777777778,2.555555556,-1.876888431,0.6,3,3,4,0,0,2,21,36,0.05,4,4,4,-2.469758406,0.4,155
27,0,0.16,4.111111111,3.777777778,3.777777778,0,1,1,1,4,1,2,4,16,36,0.17,4,4,4,-1.31394505,0.8,155
1,3,0.06,3.111111111,3.111111111,3.444444444,0,1,3,3,4,1,0,2,21,36,0.08,4,4,4,-1.386634999,0.8,156
22,5,0.15,3.777777778,3.555555556,4,0,1,0,0,0,3,0,0,19,40,0.06,5,5,5,-1.427134494,0.8,157
5,3,0.23,3.888888889,3.888888889,4,0,1,0,0,0,0,0,9,18,40,0.17,5,4,4,-1.76589871,0.8,159
22,4,0.15,3.777777778,3.555555556,4,0,1,0,0,0,2,0,0,21,40,0.05,2,3,3,0,1,160
28,5,0.11,2.777777778,3,3.333333333,0,1,1,1,5,0,0,9,21,37,0.04,4,4,4,0,1,160
20,6,0.11,3.777777778,3.666666667,3.888888889,-3.313896223,0.6,0,0,3,0,0,0,14,37,0.05,5,4,5,-2.608726126,0.6,161
29,2,0.05,3.333333333,3.666666667,3.888888889,0,1,2,2,0,1,0,6,22,40,0.06,5,5,5,0,1,161
4,4,0.1,4.111111111,3.666666667,4.111111111,0,1,1,1,14,0,0,1,16,28,0.1,4,4,4,0,1,164
19,7,0.02,2.666666667,2.777777778,2.555555556,-1.876888431,0.6,1,1,1,1,2,1,19,39,0.05,3,3,4,-1.308123116,0.6,164
26,6,0.11,2.555555556,2.555555556,2.666666667,-5.51721327,0.2,2,2,5,2,0,5,18,35,0.05,4,4,4,0,1,164
11,8,0.11,4,4.111111111,4.222222222,0,1,1,1,0,3,0,3,14,40,0.21,4,4,4,0,1,165
12,2,0.09,4,3.777777778,4.222222222,0,1,2,2,0,4,0,13,24,40,0.05,5,5,5,0,1,165
18,1,0.11,4,4,4.111111111,0,1,0,0,0,3,0,11,20,40,0.13,4,4,4,0,1,165
8,7,0.08,3.777777778,3.333333333,3.888888889,0,1,0,0,1,1,0,2,18,39,0.09,5,5,5,0,1,166
23,2,0.05,3.666666667,3.666666667,3.666666667,0,1,1,1,1,1,1,1,20,39,0.05,5,4,5,0,1,166
27,6,0.16,4.111111111,3.777777778,3.777777778,0,1,0,0,12,0,0,0,20,32,0.13,4,4,4,-1.770388056,0.8,167
10,6,0,2.222222222,2.222222222,2.444444444,-1.313812436,0.2,0,0,8,0,0,0,9,32,0.01,5,4,4,-0.718822378,0.4,168
25,7,0.08,4.111111111,4.222222222,4.111111111,0,1,1,1,1,1,2,2,19,39,0.02,4,3,4,0,1,168
27,2,0.16,4.111111111,3.777777778,3.777777778,0,1,0,0,9,1,0,2,18,33,0.14,4,4,4,0,1,168
6,2,0.15,4,4,4.222222222,0,1,0,0,1,3,0,2,20,39,0.15,5,5,5,0,1,170
2,7,0.15,4.222222222,4.222222222,4.222222222,0,1,2,2,2,0,0,0,21,38,0.16,5,5,5,-1.674016976,0.8,171
25,5,0.08,4.111111111,4.222222222,4.111111111,0,1,0,0,0,2,0,0,24,40,0.05,4,4,4,-1.805148978,0.8,171
4,2,0.1,4.111111111,3.666666667,4.111111111,0,1,0,0,6,0,7,4,11,38,0.08,4,4,4,-1.472644768,0.8,172
5,0,0.23,3.888888889,3.888888889,4,0,1,0,0,7,0,2,4,16,37,0.14,3,4,2,0,1,173
15,1,0.03,2.888888889,3,3.111111111,-1.614898908,0.8,3,3,15,0,0,2,7,27,0.11,5,5,5,0,1,173
11,4,0.11,4,4.111111111,4.222222222,0,1,0,0,0,0,0,0,13,40,0.13,4,4,4,-1.080848428,0.8,174
